WeekID,Week Number,Week Position,Song,Performer,Previous Week Position,Peak Position,Weeks on Chart
1/5/19,1,37,A Lot,21 Savage,,37,1
1/5/19,1,40,Blue Christmas,Elvis Presley,,40,1
1/5/19,1,57,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,,57,1
1/5/19,1,58,Can't Leave Without It,21 Savage,,58,1
1/5/19,1,65,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,,65,1
1/5/19,1,67,All My Friends,21 Savage,,67,1
1/5/19,1,70,Break Da Law,21 Savage,,70,1
1/5/19,1,62,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,53,31,19
1/5/19,1,49,Jingle Bells,Frank Sinatra,,49,1
1/5/19,1,75,Consequences,Camila Cabello,69,69,8
1/5/19,1,81,Beautiful Crazy,Luke Combs,81,81,7
1/5/19,1,10,A Holly Jolly Christmas,Burl Ives,12,10,9
1/5/19,1,9,Rockin' Around The Christmas Tree,Brenda Lee,11,9,27
1/5/19,1,3,All I Want For Christmas Is You,Mariah Carey,7,3,29
1/5/19,1,73,Monster,21 Savage,,73,1
1/5/19,1,22,Breathin,Ariana Grande,19,12,19
1/5/19,1,54,She Got The Best Of Me,Luke Combs,51,34,20
1/5/19,1,4,Sicko Mode,Travis Scott,3,1,21
1/5/19,1,93,Gun Smoke,21 Savage,,93,1
1/5/19,1,11,The Christmas Song (Merry Christmas To You),Nat King Cole,17,11,16
1/5/19,1,55,The Christmas Song,Lauren Daigle,90,55,2
1/5/19,1,86,1.5,21 Savage,,86,1
1/5/19,1,88,Out For The Night,21 Savage,,88,1
1/5/19,1,94,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,,94,1
1/5/19,1,95,ASMR,21 Savage,,95,1
1/5/19,1,30,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",25,11,13
1/5/19,1,52,Shallow,Lady Gaga & Bradley Cooper,44,5,13
1/5/19,1,84,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,66,66,11
1/5/19,1,100,This Is It,Scotty McCreery,84,84,3
1/5/19,1,50,Beautiful,Bazzi Featuring Camila Cabello,38,30,21
1/5/19,1,23,Better Now,Post Malone,21,3,35
1/5/19,1,45,Run Rudolph Run,Chuck Berry,,45,4
1/5/19,1,69,Backin' It Up,Pardison Fontaine Featuring Cardi B,64,64,11
1/5/19,1,35,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,42,35,2
1/5/19,1,42,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,45,42,2
1/5/19,1,71,Imagine,Ariana Grande,24,24,2
1/5/19,1,51,Better,Khalid,39,29,15
1/5/19,1,61,Best Shot,Jimmie Allen,55,46,15
1/5/19,1,41,Speechless,Dan + Shay,36,33,16
1/5/19,1,32,(There's No Place Like) Home For The Holidays,Perry Como,41,32,2
1/5/19,1,43,Christmas (Baby Please Come Home),Darlene Love,50,43,2
1/5/19,1,53,Cozy Little Christmas,Katy Perry,68,53,2
1/5/19,1,83,Sweet But Psycho,Ava Max,87,83,2
1/5/19,1,98,Envy Me,Calboy,91,91,2
1/5/19,1,28,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,35,28,3
1/5/19,1,66,Look Back At It,A Boogie Wit da Hoodie,96,66,3
1/5/19,1,47,Wow.,Post Malone,,47,1
1/5/19,1,59,You Say,Lauren Daigle,59,44,24
1/5/19,1,85,You,Jacquees,75,75,5
1/5/19,1,24,Youngblood,5 Seconds Of Summer,20,7,30
1/5/19,1,63,Be Alright,Dean Lewis,63,63,9
1/5/19,1,72,Talk To Me,Tory Lanez & Rich The Kid,61,61,9
1/5/19,1,77,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,62,28,9
1/5/19,1,5,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,4,4,10
1/5/19,1,80,Burning Man,Dierks Bentley Featuring Brothers Osborne,65,65,10
1/5/19,1,82,When The Party's Over,Billie Eilish,77,52,10
1/5/19,1,34,White Christmas,Bing Crosby,48,34,16
1/5/19,1,2,Without Me,Halsey,2,2,12
1/5/19,1,26,Sleigh Ride,The Ronettes,33,26,3
1/5/19,1,20,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,32,20,4
1/5/19,1,36,Going Bad,Meek Mill Featuring Drake,22,6,4
1/5/19,1,78,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,56,56,4
1/5/19,1,12,Drip Too Hard,Lil Baby & Gunna,9,4,15
1/5/19,1,15,ZEZE,Kodak Black Featuring Travis Scott & Offset,8,2,11
1/5/19,1,89,Good Girl,Dustin Lynch,72,72,7
1/5/19,1,38,Trip,Ella Mai,29,11,21
1/5/19,1,44,Underneath The Tree,Kelly Clarkson,,44,4
1/5/19,1,56,Uproar,Lil Wayne,49,7,13
1/5/19,1,33,Leave Me Alone,Flipp Dinero,31,27,15
1/5/19,1,17,Mo Bamba,Sheck Wes,16,6,18
1/5/19,1,16,Rudolph The Red-Nosed Reindeer,Gene Autry,28,16,4
1/5/19,1,74,Calling My Spirit,Kodak Black,46,46,4
1/5/19,1,92,Ella Quiere Beber,Anuel AA & Romeo Santos,80,79,8
1/5/19,1,19,Money,Cardi B,30,13,10
1/5/19,1,97,Fine China,Future & Juice WRLD,82,26,10
1/5/19,1,31,MIA,Bad Bunny Featuring Drake,26,5,11
1/5/19,1,7,Happier,Marshmello & Bastille,5,3,19
1/5/19,1,46,Natural,Imagine Dragons,43,13,23
1/5/19,1,21,Eastside,"benny blanco, Halsey & Khalid",18,16,24
1/5/19,1,14,Girls Like You,Maroon 5 Featuring Cardi B,15,1,31
1/5/19,1,27,Lucid Dreams,Juice WRLD,23,2,33
1/5/19,1,60,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,57,57,6
1/5/19,1,68,BAD!,XXXTENTACION,52,16,7
1/5/19,1,76,Armed And Dangerous,Juice WRLD,60,44,7
1/5/19,1,79,Sixteen,Thomas Rhett,67,67,7
1/5/19,1,1,"Thank U, Next",Ariana Grande,1,1,8
1/5/19,1,18,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,14,11,15
1/5/19,1,90,No Stylist,French Montana Featuring Drake,73,47,14
1/5/19,1,39,I Like It,"Cardi B, Bad Bunny & J Balvin",40,1,38
1/5/19,1,48,Love Lies,Khalid & Normani,37,9,45
1/5/19,1,29,Feliz Navidad,Jose Feliciano,34,29,4
1/5/19,1,87,Girl Like You,Jason Aldean,71,71,5
1/5/19,1,96,Last Shot,Kip Moore,78,78,6
1/5/19,1,99,Lost In Japan,Shawn Mendes X Zedd,83,48,14
1/5/19,1,64,Drunk Me,Mitchell Tenpenny,54,53,20
1/5/19,1,25,Last Christmas,Wham!,27,25,8
1/5/19,1,13,It's The Most Wonderful Time Of The Year,Andy Williams,10,10,9
1/5/19,1,91,Lovely,Billie Eilish & Khalid,89,89,9
1/5/19,1,6,High Hopes,Panic! At The Disco,6,5,21
1/5/19,1,8,Jingle Bell Rock,Bobby Helms,13,8,25
1/12/19,2,32,Baby Shark,Pinkfong,,32,1
1/12/19,2,45,Burning Man,Dierks Bentley Featuring Brothers Osborne,80,45,11
1/12/19,2,79,Blue Tacoma,Russell Dickerson,,79,16
1/12/19,2,24,Speechless,Dan + Shay,41,24,17
1/12/19,2,67,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,,67,18
1/12/19,2,46,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,62,31,20
1/12/19,2,42,Sixteen,Thomas Rhett,79,42,8
1/12/19,2,56,Armed And Dangerous,Juice WRLD,76,44,8
1/12/19,2,70,BAD!,XXXTENTACION,68,16,8
1/12/19,2,88,Dip,Tyga & Nicki Minaj,,88,7
1/12/19,2,48,Beautiful Crazy,Luke Combs,81,48,8
1/12/19,2,75,Take It From Me,Jordan Davis,,75,1
1/12/19,2,80,Down To The Honkytonk,Jake Owen,,80,1
1/12/19,2,2,"Thank U, Next",Ariana Grande,1,1,9
1/12/19,2,51,Consequences,Camila Cabello,75,51,9
1/12/19,2,16,Breathin,Ariana Grande,22,12,20
1/12/19,2,31,She Got The Best Of Me,Luke Combs,54,31,21
1/12/19,2,82,Love Someone,Lukas Graham,,82,1
1/12/19,2,83,Love Wins,Carrie Underwood,,83,1
1/12/19,2,91,Here Tonight,Brett Young,,91,1
1/12/19,2,86,Ruin My Life,Zara Larsson,,86,1
1/12/19,2,87,Body,Loud Luxury Featuring Brando,,87,1
1/12/19,2,92,Burn Out,Midland,,92,1
1/12/19,2,93,Solo de Mi,Bad Bunny,,93,1
1/12/19,2,95,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,,95,1
1/12/19,2,50,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,84,50,12
1/12/19,2,57,This Is It,Scotty McCreery,100,57,4
1/12/19,2,4,Sicko Mode,Travis Scott,4,1,22
1/12/19,2,28,Beautiful,Bazzi Featuring Camila Cabello,50,28,22
1/12/19,2,10,Better Now,Post Malone,23,3,36
1/12/19,2,72,Pure Cocaine,Lil Baby,,72,4
1/12/19,2,44,Backin' It Up,Pardison Fontaine Featuring Cardi B,69,44,12
1/12/19,2,81,Close Friends,Lil Baby,,81,12
1/12/19,2,98,Make It Sweet,Old Dominion,,98,1
1/12/19,2,100,idontwannabeyouanymore,Billie Eilish,,100,1
1/12/19,2,78,Monster,21 Savage,73,73,2
1/12/19,2,19,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",30,11,14
1/12/19,2,29,Shallow,Lady Gaga & Bradley Cooper,52,5,14
1/12/19,2,30,Better,Khalid,51,29,16
1/12/19,2,37,Best Shot,Jimmie Allen,61,37,16
1/12/19,2,36,A Lot,21 Savage,37,36,2
1/12/19,2,38,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,57,38,2
1/12/19,2,61,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,65,61,2
1/12/19,2,65,Can't Leave Without It,21 Savage,58,58,2
1/12/19,2,90,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,94,90,2
1/12/19,2,21,Going Bad,Meek Mill Featuring Drake,36,6,5
1/12/19,2,49,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,78,49,5
1/12/19,2,63,Imagine,Ariana Grande,71,24,3
1/12/19,2,66,Envy Me,Calboy,98,66,3
1/12/19,2,13,Wow.,Post Malone,47,13,2
1/12/19,2,77,Yosemite,Travis Scott,,77,11
1/12/19,2,34,You Say,Lauren Daigle,59,34,25
1/12/19,2,59,You,Jacquees,85,59,6
1/12/19,2,14,Youngblood,5 Seconds Of Summer,24,7,31
1/12/19,2,40,Be Alright,Dean Lewis,63,40,10
1/12/19,2,43,Talk To Me,Tory Lanez & Rich The Kid,72,43,10
1/12/19,2,55,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,77,28,10
1/12/19,2,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,5,3,11
1/12/19,2,68,When The Party's Over,Billie Eilish,82,52,11
1/12/19,2,96,whoa (mind in awe),XXXTENTACION,,96,3
1/12/19,2,1,Without Me,Halsey,2,1,13
1/12/19,2,97,All My Friends,21 Savage,67,67,2
1/12/19,2,41,Sweet But Psycho,Ava Max,83,41,3
1/12/19,2,54,Look Back At It,A Boogie Wit da Hoodie,66,54,4
1/12/19,2,9,ZEZE,Kodak Black Featuring Travis Scott & Offset,15,2,12
1/12/19,2,47,Good Girl,Dustin Lynch,89,47,8
1/12/19,2,23,Trip,Ella Mai,38,11,22
1/12/19,2,35,Uproar,Lil Wayne,56,7,14
1/12/19,2,60,No Stylist,French Montana Featuring Drake,90,47,15
1/12/19,2,8,Drip Too Hard,Lil Baby & Gunna,12,4,16
1/12/19,2,22,Leave Me Alone,Flipp Dinero,33,22,16
1/12/19,2,64,Ella Quiere Beber,Anuel AA & Romeo Santos,92,64,9
1/12/19,2,58,Calling My Spirit,Kodak Black,74,46,5
1/12/19,2,17,Money,Cardi B,19,13,11
1/12/19,2,74,Fine China,Future & Juice WRLD,97,26,11
1/12/19,2,20,MIA,Bad Bunny Featuring Drake,31,5,12
1/12/19,2,15,Mo Bamba,Sheck Wes,17,6,19
1/12/19,2,6,Happier,Marshmello & Bastille,7,3,20
1/12/19,2,25,Natural,Imagine Dragons,46,13,24
1/12/19,2,11,Eastside,"benny blanco, Halsey & Khalid",21,11,25
1/12/19,2,7,Girls Like You,Maroon 5 Featuring Cardi B,14,1,32
1/12/19,2,18,Lucid Dreams,Juice WRLD,27,2,34
1/12/19,2,33,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,60,33,7
1/12/19,2,12,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,18,11,16
1/12/19,2,76,What Makes You Country,Luke Bryan,,76,1
1/12/19,2,26,I Like It,"Cardi B, Bad Bunny & J Balvin",39,1,39
1/12/19,2,27,Love Lies,Khalid & Normani,48,9,46
1/12/19,2,99,Ocean Eyes,Billie Eilish,,99,3
1/12/19,2,85,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,,85,4
1/12/19,2,89,Good Form,Nicki Minaj Featuring Lil Wayne,,89,4
1/12/19,2,84,KIKA,6ix9ine Featuring Tory Lanez,,84,5
1/12/19,2,52,Girl Like You,Jason Aldean,87,52,6
1/12/19,2,53,Last Shot,Kip Moore,96,53,7
1/12/19,2,94,Lucky You,Eminem Featuring Joyner Lucas,,94,13
1/12/19,2,71,Lost In Japan,Shawn Mendes X Zedd,99,48,15
1/12/19,2,39,Drunk Me,Mitchell Tenpenny,64,39,21
1/12/19,2,69,Millionaire,Chris Stapleton,,69,4
1/12/19,2,73,Lovely,Billie Eilish & Khalid,91,73,10
1/12/19,2,5,High Hopes,Panic! At The Disco,6,5,22
1/12/19,2,62,Electricity,Silk City x Dua Lipa,,62,7
1/19/19,3,42,Be Alright,Dean Lewis,40,40,11
1/19/19,3,48,Backin' It Up,Pardison Fontaine Featuring Cardi B,44,44,13
1/19/19,3,89,Close Friends,Lil Baby,81,81,13
1/19/19,3,46,Crushed Up,Future,,46,1
1/19/19,3,55,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,55,28,11
1/19/19,3,57,Talk To Me,Tory Lanez & Rich The Kid,43,43,11
1/19/19,3,79,Blue Tacoma,Russell Dickerson,79,79,17
1/19/19,3,31,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,33,31,8
1/19/19,3,1,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,1,12
1/19/19,3,24,Better,Khalid,30,24,17
1/19/19,3,39,Best Shot,Jimmie Allen,37,37,17
1/19/19,3,78,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,67,67,19
1/19/19,3,25,Speechless,Dan + Shay,24,24,18
1/19/19,3,99,Dip,Tyga & Nicki Minaj,88,88,8
1/19/19,3,41,Beautiful Crazy,Luke Combs,48,41,9
1/19/19,3,81,Butterfly Doors,Lil Pump,,81,1
1/19/19,3,45,Sixteen,Thomas Rhett,42,42,9
1/19/19,3,54,Armed And Dangerous,Juice WRLD,56,44,9
1/19/19,3,15,Breathin,Ariana Grande,16,12,21
1/19/19,3,47,Burning Man,Dierks Bentley Featuring Brothers Osborne,45,45,12
1/19/19,3,51,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,50,13
1/19/19,3,53,This Is It,Scotty McCreery,57,53,5
1/19/19,3,32,She Got The Best Of Me,Luke Combs,31,31,22
1/19/19,3,4,Sicko Mode,Travis Scott,4,1,23
1/19/19,3,27,Beautiful,Bazzi Featuring Camila Cabello,28,27,23
1/19/19,3,13,Better Now,Post Malone,10,3,37
1/19/19,3,66,Pure Cocaine,Lil Baby,72,66,5
1/19/19,3,83,Space Cadet,Metro Boomin Featuring Gunna,,83,5
1/19/19,3,75,Down To The Honkytonk,Jake Owen,80,75,2
1/19/19,3,82,Love Someone,Lukas Graham,82,82,2
1/19/19,3,85,Love Wins,Carrie Underwood,83,83,2
1/19/19,3,19,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",19,11,15
1/19/19,3,23,Shallow,Lady Gaga & Bradley Cooper,29,5,15
1/19/19,3,38,Baby Shark,Pinkfong,32,32,2
1/19/19,3,69,Take It From Me,Jordan Davis,75,69,2
1/19/19,3,76,Ruin My Life,Zara Larsson,86,76,2
1/19/19,3,80,Body,Loud Luxury Featuring Brando,87,80,2
1/19/19,3,91,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,95,91,2
1/19/19,3,93,Burn Out,Midland,92,92,2
1/19/19,3,49,Look Back At It,A Boogie Wit da Hoodie,54,49,5
1/19/19,3,88,Here Tonight,Brett Young,91,88,2
1/19/19,3,92,Make It Sweet,Old Dominion,98,92,2
1/19/19,3,98,idontwannabeyouanymore,Billie Eilish,100,98,2
1/19/19,3,11,Wow.,Post Malone,13,11,3
1/19/19,3,71,Yosemite,Travis Scott,77,71,12
1/19/19,3,34,You Say,Lauren Daigle,34,34,26
1/19/19,3,58,You,Jacquees,59,58,7
1/19/19,3,16,Youngblood,5 Seconds Of Summer,14,7,32
1/19/19,3,77,BAD!,XXXTENTACION,70,16,9
1/19/19,3,3,"Thank U, Next",Ariana Grande,2,1,10
1/19/19,3,52,Consequences,Camila Cabello,51,51,10
1/19/19,3,68,When The Party's Over,Billie Eilish,68,52,12
1/19/19,3,2,Without Me,Halsey,1,1,14
1/19/19,3,33,A Lot,21 Savage,36,33,3
1/19/19,3,40,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,38,3
1/19/19,3,59,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,61,59,3
1/19/19,3,70,Can't Leave Without It,21 Savage,65,58,3
1/19/19,3,95,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,90,90,3
1/19/19,3,90,Monster,21 Savage,78,73,3
1/19/19,3,63,Envy Me,Calboy,66,63,4
1/19/19,3,73,Imagine,Ariana Grande,63,24,4
1/19/19,3,10,ZEZE,Kodak Black Featuring Travis Scott & Offset,9,2,13
1/19/19,3,26,Trip,Ella Mai,23,11,23
1/19/19,3,35,Undecided,Chris Brown,,35,1
1/19/19,3,36,Uproar,Lil Wayne,35,7,15
1/19/19,3,61,No Stylist,French Montana Featuring Drake,60,47,16
1/19/19,3,8,Drip Too Hard,Lil Baby & Gunna,8,4,17
1/19/19,3,21,Leave Me Alone,Flipp Dinero,22,21,17
1/19/19,3,18,Going Bad,Meek Mill Featuring Drake,21,6,6
1/19/19,3,43,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,49,43,6
1/19/19,3,37,Sweet But Psycho,Ava Max,41,37,4
1/19/19,3,44,Good Girl,Dustin Lynch,47,44,9
1/19/19,3,64,Ella Quiere Beber,Anuel AA & Romeo Santos,64,64,10
1/19/19,3,17,Money,Cardi B,17,13,12
1/19/19,3,14,Mo Bamba,Sheck Wes,15,6,20
1/19/19,3,6,Happier,Marshmello & Bastille,6,3,21
1/19/19,3,29,Natural,Imagine Dragons,25,13,25
1/19/19,3,9,Eastside,"benny blanco, Halsey & Khalid",11,9,26
1/19/19,3,7,Girls Like You,Maroon 5 Featuring Cardi B,7,1,33
1/19/19,3,22,Lucid Dreams,Juice WRLD,18,2,35
1/19/19,3,56,Calling My Spirit,Kodak Black,58,46,6
1/19/19,3,87,Valuable Pain,YoungBoy Never Broke Again,,87,1
1/19/19,3,12,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,12,11,17
1/19/19,3,74,What Makes You Country,Luke Bryan,76,74,2
1/19/19,3,72,Fine China,Future & Juice WRLD,74,26,12
1/19/19,3,20,MIA,Bad Bunny Featuring Drake,20,5,13
1/19/19,3,30,I Like It,"Cardi B, Bad Bunny & J Balvin",26,1,40
1/19/19,3,28,Love Lies,Khalid & Normani,27,9,47
1/19/19,3,97,Ocean Eyes,Billie Eilish,99,97,4
1/19/19,3,86,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,85,85,5
1/19/19,3,94,Good Form,Nicki Minaj Featuring Lil Wayne,89,89,5
1/19/19,3,96,KIKA,6ix9ine Featuring Tory Lanez,84,84,6
1/19/19,3,50,Girl Like You,Jason Aldean,52,50,7
1/19/19,3,60,Last Shot,Kip Moore,53,53,8
1/19/19,3,100,Lucky You,Eminem Featuring Joyner Lucas,94,94,14
1/19/19,3,84,Lost In Japan,Shawn Mendes X Zedd,71,48,16
1/19/19,3,67,Millionaire,Chris Stapleton,69,67,5
1/19/19,3,65,Lovely,Billie Eilish & Khalid,73,65,11
1/19/19,3,5,High Hopes,Panic! At The Disco,5,5,23
1/19/19,3,62,Electricity,Silk City x Dua Lipa,62,62,8
1/26/19,4,33,Dancing With A Stranger,Sam Smith & Normani,,33,1
1/26/19,4,45,Backin' It Up,Pardison Fontaine Featuring Cardi B,48,44,14
1/26/19,4,92,Close Friends,Lil Baby,89,81,14
1/26/19,4,57,Saturday Nights,Khalid & Kane Brown,,57,1
1/26/19,4,60,Consequences,Camila Cabello,52,51,11
1/26/19,4,91,Blue Tacoma,Russell Dickerson,79,79,18
1/26/19,4,27,Lost In The Fire,Gesaffelstein & The Weeknd,,27,1
1/26/19,4,22,Better,Khalid,24,22,18
1/26/19,4,48,Best Shot,Jimmie Allen,39,37,18
1/26/19,4,42,Beautiful Crazy,Luke Combs,41,41,10
1/26/19,4,44,Be Alright,Dean Lewis,42,40,12
1/26/19,4,69,Nights Like This,Kehlani Featuring Ty Dolla $ign,,69,1
1/26/19,4,79,Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,,79,1
1/26/19,4,80,Jumpin On A Jet,Future,,80,1
1/26/19,4,32,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,31,31,9
1/26/19,4,25,Speechless,Dan + Shay,25,24,19
1/26/19,4,62,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,55,28,12
1/26/19,4,72,Talk To Me,Tory Lanez & Rich The Kid,57,43,12
1/26/19,4,2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,1,13
1/26/19,4,47,Burning Man,Dierks Bentley Featuring Brothers Osborne,47,45,13
1/26/19,4,51,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,51,50,14
1/26/19,4,52,This Is It,Scotty McCreery,53,52,6
1/26/19,4,75,Thotiana,Blueface,,75,1
1/26/19,4,18,Breathin,Ariana Grande,15,12,22
1/26/19,4,38,She Got The Best Of Me,Luke Combs,32,31,23
1/26/19,4,3,Sicko Mode,Travis Scott,4,1,24
1/26/19,4,26,Beautiful,Bazzi Featuring Camila Cabello,27,26,24
1/26/19,4,15,Better Now,Post Malone,13,3,38
1/26/19,4,67,Pure Cocaine,Lil Baby,66,66,6
1/26/19,4,88,Space Cadet,Metro Boomin Featuring Gunna,83,83,6
1/26/19,4,19,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",19,11,16
1/26/19,4,24,Shallow,Lady Gaga & Bradley Cooper,23,5,16
1/26/19,4,99,Splashin,Rich The Kid,,99,1
1/26/19,4,59,Crushed Up,Future,46,46,2
1/26/19,4,89,Butterfly Doors,Lil Pump,81,81,2
1/26/19,4,41,Envy Me,Calboy,63,41,5
1/26/19,4,78,Down To The Honkytonk,Jake Owen,75,75,3
1/26/19,4,81,Love Someone,Lukas Graham,82,81,3
1/26/19,4,9,Wow.,Post Malone,11,9,4
1/26/19,4,70,Yosemite,Travis Scott,71,70,13
1/26/19,4,35,You Say,Lauren Daigle,34,34,27
1/26/19,4,61,You,Jacquees,58,58,8
1/26/19,4,16,Youngblood,5 Seconds Of Summer,16,7,33
1/26/19,4,43,Sixteen,Thomas Rhett,45,42,10
1/26/19,4,58,Armed And Dangerous,Juice WRLD,54,44,10
1/26/19,4,85,BAD!,XXXTENTACION,77,16,10
1/26/19,4,5,"Thank U, Next",Ariana Grande,3,1,11
1/26/19,4,74,When The Party's Over,Billie Eilish,68,52,13
1/26/19,4,1,Without Me,Halsey,2,1,15
1/26/19,4,37,Baby Shark,Pinkfong,38,32,3
1/26/19,4,76,Take It From Me,Jordan Davis,69,69,3
1/26/19,4,77,Ruin My Life,Zara Larsson,76,76,3
1/26/19,4,82,Body,Loud Luxury Featuring Brando,80,80,3
1/26/19,4,87,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,91,87,3
1/26/19,4,86,Love Wins,Carrie Underwood,85,83,3
1/26/19,4,95,Here Tonight,Brett Young,88,88,3
1/26/19,4,96,idontwannabeyouanymore,Billie Eilish,98,96,3
1/26/19,4,100,Make It Sweet,Old Dominion,92,92,3
1/26/19,4,10,ZEZE,Kodak Black Featuring Travis Scott & Offset,10,2,14
1/26/19,4,50,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,43,43,7
1/26/19,4,29,Trip,Ella Mai,26,11,24
1/26/19,4,54,Twerk,City Girls Featuring Cardi B,,54,2
1/26/19,4,56,Undecided,Chris Brown,35,35,2
1/26/19,4,49,Uproar,Lil Wayne,36,7,16
1/26/19,4,63,No Stylist,French Montana Featuring Drake,61,47,17
1/26/19,4,8,Drip Too Hard,Lil Baby & Gunna,8,4,18
1/26/19,4,21,Leave Me Alone,Flipp Dinero,21,21,18
1/26/19,4,40,Look Back At It,A Boogie Wit da Hoodie,49,40,6
1/26/19,4,17,Going Bad,Meek Mill Featuring Drake,18,6,7
1/26/19,4,98,Burn Out,Midland,93,92,3
1/26/19,4,34,A Lot,21 Savage,33,33,4
1/26/19,4,39,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,40,38,4
1/26/19,4,65,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,59,59,4
1/26/19,4,93,Can't Leave Without It,21 Savage,70,58,4
1/26/19,4,36,Sweet But Psycho,Ava Max,37,36,5
1/26/19,4,53,Good Girl,Dustin Lynch,44,44,10
1/26/19,4,66,Ella Quiere Beber,Anuel AA & Romeo Santos,64,64,11
1/26/19,4,14,Mo Bamba,Sheck Wes,14,6,21
1/26/19,4,6,Happier,Marshmello & Bastille,6,3,22
1/26/19,4,31,Natural,Imagine Dragons,29,13,26
1/26/19,4,11,Eastside,"benny blanco, Halsey & Khalid",9,9,27
1/26/19,4,7,Girls Like You,Maroon 5 Featuring Cardi B,7,1,34
1/26/19,4,23,Lucid Dreams,Juice WRLD,22,2,36
1/26/19,4,55,Calling My Spirit,Kodak Black,56,46,7
1/26/19,4,90,Valuable Pain,YoungBoy Never Broke Again,87,87,2
1/26/19,4,12,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,12,11,18
1/26/19,4,73,What Makes You Country,Luke Bryan,74,73,3
1/26/19,4,13,Money,Cardi B,17,13,13
1/26/19,4,83,Fine China,Future & Juice WRLD,72,26,13
1/26/19,4,20,MIA,Bad Bunny Featuring Drake,20,5,14
1/26/19,4,30,I Like It,"Cardi B, Bad Bunny & J Balvin",30,1,41
1/26/19,4,28,Love Lies,Khalid & Normani,28,9,48
1/26/19,4,97,Ocean Eyes,Billie Eilish,97,97,5
1/26/19,4,84,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,86,84,6
1/26/19,4,94,Good Form,Nicki Minaj Featuring Lil Wayne,94,89,6
1/26/19,4,46,Girl Like You,Jason Aldean,50,46,8
1/26/19,4,71,Millionaire,Chris Stapleton,67,67,6
1/26/19,4,64,Lovely,Billie Eilish & Khalid,65,64,12
1/26/19,4,4,High Hopes,Panic! At The Disco,5,4,24
1/26/19,4,68,Electricity,Silk City x Dua Lipa,62,62,9
2/2/19,5,1,7 Rings,Ariana Grande,,1,1
