url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,38,Falling,Trevor Daniel,FallingTrevor Daniel,1,36,36,5
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,96,Homesick,Kane Brown,HomesickKane Brown,1,90,88,5
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,40,Happy Holiday / The Holiday Season,Andy Williams,Happy Holiday / The Holiday SeasonAndy Williams,1,43,40,3
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,43,No Idea,Don Toliver,No IdeaDon Toliver,1,76,43,3
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,53,Like It's Christmas,Jonas Brothers,Like It's ChristmasJonas Brothers,1,61,53,3
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,95,Yellow Hearts,Ant Saunders,Yellow HeartsAnt Saunders,1,95,81,6
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,11,Dance Monkey,Tones And I,Dance MonkeyTones And I,1,9,9,11
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,13,"10,000 Hours",Dan + Shay & Justin Bieber,"10,000 HoursDan + Shay & Justin Bieber",1,14,4,11
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,19,Bandit,Juice WRLD & YoungBoy Never Broke Again,BanditJuice WRLD & YoungBoy Never Broke Again,1,12,10,11
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,35,Woah,Lil Baby,WoahLil Baby,1,28,16,6
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,63,Blinding Lights,The Weeknd,Blinding LightsThe Weeknd,1,52,11,3
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,26,Heartless,The Weeknd,HeartlessThe Weeknd,1,17,1,4
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,65,Into The Unknown,Idina Menzel & AURORA,Into The UnknownIdina Menzel & AURORA,1,55,46,4
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,97,Easy,DaniLeigh Featuring Chris Brown,EasyDaniLeigh Featuring Chris Brown,1,89,88,7
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,80,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip ToeRoddy Ricch Featuring A Boogie Wit da Hoodie,1,73,73,3
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,33,Trampoline,SHAED,TrampolineSHAED,1,27,13,29
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,32,Truth Hurts,Lizzo,Truth HurtsLizzo,1,23,1,33
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,98,Enemies,Post Malone Featuring DaBaby,EnemiesPost Malone Featuring DaBaby,1,83,16,15
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,59,Heat,Chris Brown Featuring Gunna,HeatChris Brown Featuring Gunna,1,56,36,16
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,10,Good As Hell,Lizzo,Good As HellLizzo,1,5,3,17
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,31,Hot,Young Thug Featuring Gunna,HotYoung Thug Featuring Gunna,1,33,11,18
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,48,Lover,Taylor Swift,LoverTaylor Swift,1,40,10,18
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,34,everything i wanted,Billie Eilish,everything i wantedBillie Eilish,1,30,8,6
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,70,Heart On Ice,Rod Wave,Heart On IceRod Wave,1,65,54,6
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,58,Suicidal,YNW Melly,SuicidalYNW Melly,1,74,58,4
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,94,Candy,Doja Cat,CandyDoja Cat,1,86,86,4
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,100,6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly,6 KissTrippie Redd Featuring Juice WRLD & YNW Melly,1,78,60,4
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,12,Lose You To Love Me,Selena Gomez,Lose You To Love MeSelena Gomez,1,13,1,9
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,74,Death,Trippie Redd Featuring DaBaby,DeathTrippie Redd Featuring DaBaby,1,64,59,5
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,81,Kinfolks,Sam Hunt,KinfolksSam Hunt,1,77,62,10
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,27,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOMTravis Scott,1,25,1,11
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,77,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock","Leave Em AloneLayton Greene, Lil Baby, City Girls & PnB Rock",1,69,60,11
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,46,On Chill,Wale Featuring Jeremih,On ChillWale Featuring Jeremih,1,45,22,19
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,20,No Guidance,Chris Brown Featuring Drake,No GuidanceChris Brown Featuring Drake,1,19,5,28
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,4,Roxanne,Arizona Zervas,RoxanneArizona Zervas,1,6,4,7
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,42,Don't Start Now,Dua Lipa,Don't Start NowDua Lipa,1,42,30,7
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,66,Ridin' Roads,Dustin Lynch,Ridin' RoadsDustin Lynch,1,68,66,7
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,85,Vete,Bad Bunny,VeteBad Bunny,1,75,33,4
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,60,VIBEZ,DaBaby,VIBEZDaBaby,1,62,21,12
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,54,Watermelon Sugar,Harry Styles,Watermelon SugarHarry Styles,2,92,54,4
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,68,What If I Never Get Over You,Lady Antebellum,What If I Never Get Over YouLady Antebellum,5,70,47,17
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,72,Heartache Medication,Jon Pardi,Heartache MedicationJon Pardi,1,71,67,12
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,7,Memories,Maroon 5,MemoriesMaroon 5,1,7,4,13
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,51,Hot Girl Bummer,blackbear,Hot Girl Bummerblackbear,1,51,41,14
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,52,Graveyard,Halsey,GraveyardHalsey,1,48,34,14
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,41,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town RoadLil Nas X Featuring Billy Ray Cyrus,1,39,1,42
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,50,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like ChristmasPerry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,2,,50,3
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,28,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,"Let It Snow, Let It Snow, Let It SnowDean Martin",2,24,24,7
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,57,Juicy,Doja Cat & Tyga,JuicyDoja Cat & Tyga,2,57,47,8
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,82,Nice To Meet Ya,Niall Horan,Nice To Meet YaNiall Horan,2,91,63,10
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,75,Hate Me,Ellie Goulding & Juice WRLD,Hate MeEllie Goulding & Juice WRLD,2,60,56,19
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,49,Even Though I'm Leaving,Luke Combs,Even Though I'm LeavingLuke Combs,2,46,11,34
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,22,Lucid Dreams,Juice WRLD,Lucid DreamsJuice WRLD,2,8,8,48
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,47,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)Gene Autry,3,,47,5
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,64,Lights Up,Harry Styles,Lights UpHarry Styles,3,,64,5
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,23,Feliz Navidad,Jose Feliciano,Feliz NavidadJose Feliciano,3,34,23,7
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,17,Last Christmas,Wham!,Last ChristmasWham!,4,26,17,12
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,15,It's The Most Wonderful Time Of The Year,Andy Williams,It's The Most Wonderful Time Of The YearAndy Williams,4,20,15,13
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,9,Jingle Bell Rock,Bobby Helms,Jingle Bell RockBobby Helms,8,15,9,29
